City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
369,Pundaguitan,PH,83.23,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
379,Camopi,GF,71.82,overcast clouds,3.1655,-52.3158,La pousada
380,Basco,PH,79.86,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
383,Grand-Santi,GF,74.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
384,Kilindoni,TZ,78.87,few clouds,-7.9139,39.6668,Bustani B&B
388,Casaluce,IT,70.56,scattered clouds,41.0019,14.198,Hotel del Sole-Ristorante Cicciotto
389,Kang,BW,70.79,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
390,Mandiana,GN,76.1,clear sky,10.6333,-8.6833,Motels rouzo
392,Santiago Del Estero,AR,77.49,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
395,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
398,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
399,Piracuruca,BR,79.61,scattered clouds,-3.9281,-41.7092,Pousada Piracuruca
402,Celestun,MX,76.14,scattered clouds,20.8667,-90.4,Posada Lilia
405,Charters Towers,AU,88.88,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
407,Port Blair,IN,82.99,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
409,Hervey Bay,AU,83.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
411,Ambanja,MG,74.48,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
412,Champerico,GT,82.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
416,Ridgecrest,US,71.46,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
418,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
420,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
422,Bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
425,San Patricio,US,71.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
427,Bhawanipatna,IN,76.06,overcast clouds,19.9,83.1667,Bhagirathi inn
428,Banda Aceh,ID,83.37,broken clouds,5.5577,95.3222,Sulthan Hotel International
434,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
436,Tual,ID,84.52,broken clouds,-5.6667,132.75,Grand Vilia Hotel
438,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
439,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
444,Gladstone,AU,84.78,broken clouds,-23.85,151.25,Highpoint International
447,Gizo,SB,84.38,light rain,-8.103,156.8419,Imagination Island
448,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
449,Tucuman,AR,71.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
456,Andros Town,BS,76.96,overcast clouds,24.7,-77.7667,Hanks place
457,Bensonville,LR,76.55,light rain,6.4461,-10.6125,Moinga
458,Bossangoa,CF,70.03,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
459,San Policarpo,PH,82.67,overcast clouds,12.1791,125.5072,Agapita M. Nicart
463,Madras,IN,76.98,light rain,13.0878,80.2785,City home
