City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
54,Zhanaozen,KZ,43.3,52.8,42.48,51,59,22.64,broken clouds
55,Te Anau,NZ,-45.4167,167.7167,64.81,48,6,3.24,clear sky
56,Forestville,US,38.8451,-76.875,46.27,71,1,3.44,clear sky
57,Castro,BR,-24.7911,-50.0119,64.51,78,96,3.15,overcast clouds
58,Kaitangata,NZ,-46.2817,169.8464,61.61,46,5,9.35,clear sky
59,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,11.5,scattered clouds
60,Ponta Do Sol,PT,32.6667,-17.1,71.71,76,100,7.27,overcast clouds
61,Tete,MZ,-16.1564,33.5867,81.12,64,6,8.21,clear sky
62,New Norfolk,AU,-42.7826,147.0587,66.76,49,3,3.0,clear sky
63,Ostrovnoy,RU,68.0531,39.5131,38.1,89,100,21.21,overcast clouds
64,Tautira,PF,-17.7333,-149.15,82.42,79,16,15.61,light rain
65,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,11.5,scattered clouds
66,Saldanha,ZA,-33.0117,17.9442,51.85,79,100,6.02,overcast clouds
67,Saint-Philippe,RE,-21.3585,55.7679,71.15,76,8,8.1,clear sky
68,Alta Floresta,BR,-9.8756,-56.0861,71.94,98,100,1.7,light rain
69,Thap Than,TH,15.4606,99.8917,80.26,82,100,2.84,overcast clouds
70,Carutapera,BR,-1.195,-46.02,78.71,82,12,6.96,few clouds
71,Kyabe,TD,9.4515,18.9449,75.92,74,100,3.76,overcast clouds
72,Penzance,GB,50.1186,-5.5371,49.77,73,99,15.9,overcast clouds
73,Vardo,NO,70.3705,31.1107,41.14,90,100,18.3,overcast clouds
74,Verin,ES,41.9415,-7.4381,44.56,93,88,4.7,overcast clouds
75,Broken Hill,AU,-31.95,141.4333,71.31,56,40,17.27,scattered clouds
76,Chicama,PE,-7.8447,-79.1469,61.34,81,62,5.88,broken clouds
77,Grindavik,IS,63.8424,-22.4338,41.47,87,90,14.97,light intensity drizzle
78,Cape Town,ZA,-33.9258,18.4232,61.21,81,75,12.66,broken clouds
79,Tahta,EG,26.7693,31.5021,71.92,46,0,6.96,clear sky
80,Georgetown,MY,5.4112,100.3354,85.93,76,20,3.44,few clouds
81,Cayenne,GF,4.9333,-52.3333,81.09,81,20,5.01,few clouds
82,Casas Grandes,MX,30.3667,-107.95,58.44,25,1,4.83,clear sky
83,Port Shepstone,ZA,-30.7414,30.455,62.78,85,0,9.22,clear sky
84,Vostok,RU,46.4856,135.8833,43.05,55,100,1.07,moderate rain
